,Age,Cabin,Embarked,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Survived
43,30,M,S,13.0,0,935,2,female,0,1
44,45,D,S,52.5542,0,936,1,female,1,1
45,25,M,S,7.925,0,937,3,male,0,0
46,45,A,C,29.7,0,938,1,male,0,0
47,29,M,Q,7.75,0,939,3,male,0,0
48,60,D,C,76.2917,0,940,1,female,0,1
49,36,M,S,15.9,2,941,3,female,0,1
50,24,C,S,60.0,0,942,1,male,1,0
51,27,M,C,15.0333,0,943,2,male,0,0
52,20,M,S,23.0,1,944,2,female,2,1
53,28,C,S,263.0,2,945,1,female,3,1
54,29,M,C,15.5792,0,946,2,male,0,0
55,10,M,Q,29.125,1,947,3,male,4,0
56,35,M,S,7.8958,0,948,3,male,0,0
57,25,F,S,7.65,0,949,3,male,0,0
58,29,M,S,16.1,0,950,3,male,1,0
59,36,B,C,262.375,0,951,1,female,0,1
60,17,M,S,7.8958,0,952,3,male,0,0
61,32,M,S,13.5,0,953,2,male,0,0
62,18,M,S,7.75,0,954,3,male,0,0
63,22,M,Q,7.725,0,955,3,female,0,1
64,13,B,C,262.375,2,956,1,male,2,0
65,29,M,S,21.0,0,957,2,female,0,1
66,18,M,Q,7.8792,0,958,3,female,0,1
67,47,M,S,42.4,0,959,1,male,0,0
68,31,C,C,28.5375,0,960,1,male,0,0
69,60,C,S,263.0,4,961,1,female,1,1
70,24,M,Q,7.75,0,962,3,female,0,1
71,21,M,S,7.8958,0,963,3,male,0,0
72,29,M,S,7.925,0,964,3,female,0,1
73,28,D,C,27.7208,0,965,1,male,0,0
74,35,C,C,211.5,0,966,1,female,0,1
75,32,C,C,211.5,0,967,1,male,0,0
76,29,M,S,8.05,0,968,3,male,0,0
77,55,C,S,25.7,0,969,1,female,2,1
78,30,M,S,13.0,0,970,2,male,0,0
79,24,M,Q,7.75,0,971,3,female,0,1
80,6,M,C,15.2458,1,972,3,male,1,0
81,67,C,S,221.7792,0,973,1,male,1,0
82,49,M,S,26.0,0,974,1,male,0,0
83,29,M,S,7.8958,0,975,3,male,0,0
84,29,M,Q,10.7083,0,976,2,male,0,0
85,29,M,C,14.4542,0,977,3,male,1,0
86,27,M,Q,7.8792,0,978,3,female,0,1
87,18,M,S,8.05,0,979,3,female,0,1
88,29,M,Q,7.75,0,980,3,female,0,1
89,2,M,S,23.0,1,981,2,male,1,0
90,22,M,S,13.9,0,982,3,female,1,1
91,29,M,S,7.775,0,983,3,male,0,0
92,27,B,S,52.0,2,984,1,female,1,1
93,29,M,S,8.05,0,985,3,male,0,0
94,25,M,C,26.0,0,986,1,male,0,0
95,25,M,S,7.7958,0,987,3,male,0,0
96,76,C,S,78.85,0,988,1,female,1,1
97,29,M,S,7.925,0,989,3,male,0,0
98,20,M,S,7.8542,0,990,3,female,0,1
99,33,M,S,8.05,0,991,3,male,0,0
100,43,C,C,55.4417,0,992,1,female,1,1
101,27,M,S,26.0,0,993,2,male,1,0
102,29,M,Q,7.75,0,994,3,male,0,0
103,26,M,S,7.775,0,995,3,male,0,0
104,16,M,C,8.5167,1,996,3,female,1,1
105,28,M,S,22.525,0,997,3,male,0,0
106,21,M,Q,7.8208,0,998,3,male,0,0
107,29,M,Q,7.75,0,999,3,male,0,0
108,29,M,S,8.7125,0,1000,3,male,0,0
109,18,F,S,13.0,0,1001,2,male,0,0
110,41,M,C,15.0458,0,1002,2,male,0,0
111,29,M,Q,7.7792,0,1003,3,female,0,1
112,36,A,C,31.6792,0,1004,1,female,0,1
113,18,M,Q,7.2833,0,1005,3,female,0,1
114,63,C,S,221.7792,0,1006,1,female,1,1
115,18,M,C,14.4542,0,1007,3,male,1,0
116,29,M,C,6.4375,0,1008,3,male,0,0
117,1,G,S,16.7,1,1009,3,female,1,1
118,36,C,C,75.2417,0,1010,1,male,0,0
119,29,M,S,26.0,0,1011,2,female,1,1
120,12,M,S,15.75,0,1012,2,female,0,1
121,29,M,Q,7.75,0,1013,3,male,1,0
122,35,C,C,57.75,0,1014,1,female,1,1
123,28,M,S,7.25,0,1015,3,male,0,0
124,29,M,Q,7.75,0,1016,3,male,0,0
125,17,M,S,16.1,1,1017,3,female,0,1
126,22,M,S,7.7958,0,1018,3,male,0,0
127,29,M,Q,23.25,0,1019,3,female,2,1
128,42,M,S,13.0,0,1020,2,male,0,0
129,24,M,S,8.05,0,1021,3,male,0,0
130,32,M,S,8.05,0,1022,3,male,0,0
131,53,C,C,28.5,0,1023,1,male,0,0
132,29,M,S,25.4667,4,1024,3,female,0,1
133,29,M,C,6.4375,0,1025,3,male,1,0
134,43,M,S,7.8958,0,1026,3,male,0,0
135,24,M,S,7.8542,0,1027,3,male,0,0
136,26,M,C,7.225,0,1028,3,male,0,0
137,26,M,S,13.0,0,1029,2,male,0,0
138,23,M,S,8.05,0,1030,3,female,0,1
139,40,M,S,46.9,6,1031,3,male,1,0
140,10,M,S,46.9,2,1032,3,female,5,1
141,33,M,S,151.55,0,1033,1,female,0,1
142,61,B,C,262.375,3,1034,1,male,1,0
143,28,M,S,26.0,0,1035,2,male,0,0
144,42,M,S,26.55,0,1036,1,male,0,0
145,31,M,S,18.0,0,1037,3,male,3,0
146,29,E,S,51.8625,0,1038,1,male,0,0
147,22,M,S,8.05,0,1039,3,male,0,0
148,29,M,S,26.55,0,1040,1,male,0,0
149,30,M,S,26.0,1,1041,2,male,1,0
150,23,C,C,83.1583,1,1042,1,female,0,1
151,29,M,C,7.8958,0,1043,3,male,0,0
152,60,M,S,10.060136781609208,0,1044,3,male,0,0
153,36,M,S,12.1833,2,1045,3,female,0,1
154,13,M,S,31.3875,2,1046,3,male,4,0
155,24,M,S,7.55,0,1047,3,male,0,0
156,29,C,S,221.7792,0,1048,1,female,0,1
157,23,M,S,7.8542,0,1049,3,female,0,1
158,42,D,S,26.55,0,1050,1,male,0,0
159,26,M,S,13.775,2,1051,3,female,0,1
160,29,M,Q,7.7333,0,1052,3,female,0,1
161,7,M,C,15.2458,1,1053,3,male,1,0
162,26,M,S,13.5,0,1054,2,female,0,1
163,29,M,S,7.0,0,1055,3,male,0,0
164,41,M,S,13.0,0,1056,2,male,0,0
165,26,M,S,22.025,1,1057,3,female,1,1
166,48,B,C,50.4958,0,1058,1,male,0,0
167,18,M,S,34.375,2,1059,3,male,2,0
168,29,M,C,27.7208,0,1060,1,female,0,1
169,22,M,S,8.9625,0,1061,3,female,0,1
170,29,M,S,7.55,0,1062,3,male,0,0
171,27,M,C,7.225,0,1063,3,male,0,0
172,23,M,S,13.9,0,1064,3,male,1,0
173,29,M,C,7.2292,0,1065,3,male,0,0
174,40,M,S,31.3875,5,1066,3,male,1,0
175,15,M,S,39.0,2,1067,2,female,0,1
176,20,M,S,36.75,0,1068,2,female,0,1
177,54,C,C,55.4417,0,1069,1,male,1,0
178,36,F,S,39.0,3,1070,2,female,0,1
179,64,E,C,83.1583,2,1071,1,female,0,1
180,30,M,S,13.0,0,1072,2,male,0,0
181,37,E,C,83.1583,1,1073,1,male,1,0
182,18,D,S,53.1,0,1074,1,female,1,1
183,29,M,Q,7.75,0,1075,3,male,0,0
184,27,B,C,247.5208,1,1076,1,female,1,1
185,40,M,S,16.0,0,1077,2,male,0,0
186,21,M,S,21.0,1,1078,2,female,0,1
187,17,M,S,8.05,0,1079,3,male,2,0
188,29,M,S,69.55,2,1080,3,female,8,1
189,40,M,S,13.0,0,1081,2,male,0,0
190,34,M,S,26.0,0,1082,2,male,1,0
191,29,M,S,26.0,0,1083,1,male,0,0
192,11,M,S,14.5,1,1084,3,male,1,0
193,61,M,Q,12.35,0,1085,2,male,0,0
194,8,M,S,32.5,2,1086,2,male,0,0
195,33,M,S,7.8542,0,1087,3,male,0,0
196,6,E,C,134.5,2,1088,1,male,0,0
197,18,M,S,7.775,0,1089,3,female,0,1
198,23,M,S,10.5,0,1090,2,male,0,0
199,29,M,S,8.1125,0,1091,3,female,0,1
200,29,M,Q,15.5,0,1092,3,female,0,1
201,0,M,S,14.4,2,1093,3,male,0,0
202,47,C,C,227.525,0,1094,1,male,1,0
203,8,M,S,26.0,1,1095,2,female,1,1
204,25,M,S,10.5,0,1096,2,male,0,0
205,29,M,C,25.7417,0,1097,1,male,0,0
206,35,M,Q,7.75,0,1098,3,female,0,1
207,24,M,S,10.5,0,1099,2,male,0,0
208,33,A,C,27.7208,0,1100,1,female,0,1
209,25,M,S,7.8958,0,1101,3,male,0,0
210,32,M,S,22.525,0,1102,3,male,0,0
211,29,M,S,7.05,0,1103,3,male,0,0
212,17,M,S,73.5,0,1104,2,male,0,0
213,60,M,S,26.0,0,1105,2,female,1,1
214,38,M,S,7.775,2,1106,3,female,4,1
215,42,B,S,42.5,0,1107,1,male,0,0
216,29,M,Q,7.8792,0,1108,3,female,0,1
217,57,M,S,164.8667,1,1109,1,male,1,0
218,50,C,C,211.5,1,1110,1,female,1,1
219,29,M,S,8.05,0,1111,3,male,0,0
220,30,M,C,13.8583,0,1112,2,female,1,1
221,21,M,S,8.05,0,1113,3,male,0,0
222,22,F,S,10.5,0,1114,2,female,0,1
223,21,M,S,7.7958,0,1115,3,male,0,0
224,53,M,C,27.4458,0,1116,1,female,0,1
225,29,M,C,15.2458,2,1117,3,female,0,1
226,23,M,S,7.7958,0,1118,3,male,0,0
227,29,M,Q,7.75,0,1119,3,female,0,1
228,40,M,S,15.1,0,1120,3,male,0,0
229,36,M,S,13.0,0,1121,2,male,0,0
230,14,M,S,65.0,0,1122,2,male,0,0
231,21,M,S,26.55,0,1123,1,female,0,1
232,21,M,S,6.4958,0,1124,3,male,1,0
233,29,M,Q,7.8792,0,1125,3,male,0,0
234,39,C,C,71.2833,0,1126,1,male,1,0
235,20,M,S,7.8542,0,1127,3,male,0,0
236,64,D,C,75.25,0,1128,1,male,1,0
237,20,M,C,7.225,0,1129,3,male,0,0
238,18,M,S,13.0,1,1130,2,female,1,1
239,48,C,C,106.425,0,1131,1,female,1,1
240,55,M,C,27.7208,0,1132,1,female,0,1
241,45,M,S,30.0,2,1133,2,female,0,1
242,45,E,C,134.5,1,1134,1,male,1,0
243,29,M,S,7.8875,0,1135,3,male,0,0
244,29,M,S,23.45,2,1136,3,male,1,0
245,41,D,S,51.8625,0,1137,1,male,1,0
246,22,M,S,21.0,0,1138,2,female,0,1
247,42,M,S,32.5,1,1139,2,male,1,0
248,29,M,S,26.0,0,1140,2,female,1,1
249,29,M,C,14.4542,0,1141,3,female,1,1
250,0,M,S,27.75,2,1142,2,female,1,1
251,20,M,S,7.925,0,1143,3,male,0,0
252,27,C,C,136.7792,0,1144,1,male,1,0
253,24,M,S,9.325,0,1145,3,male,0,0
254,32,M,S,9.5,0,1146,3,male,0,0
255,29,M,S,7.55,0,1147,3,male,0,0
256,29,M,Q,7.75,0,1148,3,male,0,0
257,28,M,S,8.05,0,1149,3,male,0,0
258,19,M,S,13.0,0,1150,2,female,0,1
259,21,M,S,7.775,0,1151,3,male,0,0
260,36,M,S,17.4,0,1152,3,male,1,0
261,21,M,S,7.8542,0,1153,3,male,0,0
262,29,M,S,23.0,2,1154,2,female,0,1
263,1,M,S,12.1833,1,1155,3,female,1,1
264,30,M,C,12.7375,0,1156,2,male,0,0
265,29,M,S,7.8958,0,1157,3,male,0,0
266,29,M,S,0.0,0,1158,1,male,0,0
267,29,M,S,7.55,0,1159,3,male,0,0
268,29,M,S,8.05,0,1160,3,female,0,1
269,17,M,S,8.6625,0,1161,3,male,0,0
270,46,C,C,75.2417,0,1162,1,male,0,0
271,29,M,Q,7.75,0,1163,3,male,0,0
272,26,C,C,136.7792,0,1164,1,female,1,1
273,29,M,Q,15.5,0,1165,3,female,1,1
274,29,M,C,7.225,0,1166,3,male,0,0
275,20,M,S,26.0,0,1167,2,female,1,1
276,28,M,S,10.5,0,1168,2,male,0,0
277,40,M,S,26.0,0,1169,2,male,1,0
278,30,M,S,21.0,0,1170,2,male,1,0
279,22,M,S,10.5,0,1171,2,male,0,0
280,23,M,S,8.6625,0,1172,3,female,0,1
281,0,M,S,13.775,1,1173,3,male,1,0
282,29,M,Q,7.75,0,1174,3,female,0,1
283,9,M,C,15.2458,1,1175,3,female,1,1
284,2,M,S,20.2125,1,1176,3,female,1,1
285,36,M,S,7.25,0,1177,3,male,0,0
286,29,M,S,7.25,0,1178,3,male,0,0
287,24,B,S,82.2667,0,1179,1,male,1,0
288,29,F,C,7.2292,0,1180,3,male,0,0
289,29,M,S,8.05,0,1181,3,male,0,0
290,29,M,S,39.6,0,1182,1,male,0,0
291,30,M,Q,6.95,0,1183,3,female,0,1
292,29,M,C,7.2292,0,1184,3,male,0,0
293,53,A,S,81.8583,1,1185,1,male,1,0
294,36,M,S,9.5,0,1186,3,male,0,0
295,26,M,S,7.8958,0,1187,3,male,0,0
296,1,M,C,41.5792,2,1188,2,female,1,1
297,29,M,C,21.6792,0,1189,3,male,2,0
298,30,M,S,45.5,0,1190,1,male,0,0
299,29,M,S,7.8542,0,1191,3,male,0,0
300,32,M,S,7.775,0,1192,3,male,0,0
301,29,D,C,15.0458,0,1193,2,male,0,0
302,43,M,S,21.0,1,1194,2,male,0,0
303,24,M,S,8.6625,0,1195,3,male,0,0
304,29,M,Q,7.75,0,1196,3,female,0,1
305,64,B,S,26.55,1,1197,1,female,1,1
306,30,C,S,151.55,2,1198,1,male,1,0
307,0,M,S,9.35,1,1199,3,male,0,0
308,55,B,S,93.5,1,1200,1,male,1,0
309,45,M,S,14.1083,0,1201,3,female,1,1
310,18,M,S,8.6625,0,1202,3,male,0,0
311,22,M,C,7.225,0,1203,3,male,0,0
312,29,M,S,7.575,0,1204,3,male,0,0
313,37,M,Q,7.75,0,1205,3,female,0,1
314,55,C,C,135.6333,0,1206,1,female,0,1
315,17,M,Q,7.7333,0,1207,3,female,0,1
316,57,B,C,146.5208,0,1208,1,male,1,0
317,19,M,S,10.5,0,1209,2,male,0,0
318,27,M,S,7.8542,0,1210,3,male,0,0
319,22,M,S,31.5,0,1211,2,male,2,0
320,26,M,S,7.775,0,1212,3,male,0,0
321,25,F,C,7.2292,0,1213,3,male,0,0
322,26,F,S,13.0,0,1214,2,male,0,0
323,33,M,S,26.55,0,1215,1,male,0,0
324,39,M,S,211.3375,0,1216,1,female,0,1
325,23,M,S,7.05,0,1217,3,male,0,0
326,12,F,S,39.0,1,1218,2,female,2,1
327,46,M,C,79.2,0,1219,1,male,0,0
328,29,M,S,26.0,0,1220,2,male,1,0
329,21,M,S,13.0,0,1221,2,male,0,0
330,48,M,S,36.75,2,1222,2,female,0,1
331,39,A,C,29.7,0,1223,1,male,0,0
332,29,M,C,7.225,0,1224,3,male,0,0
333,19,M,C,15.7417,1,1225,3,female,1,1
334,27,M,S,7.8958,0,1226,3,male,0,0
335,30,C,S,26.0,0,1227,1,male,0,0
336,32,M,S,13.0,0,1228,2,male,0,0
337,39,M,C,7.2292,2,1229,3,male,0,0
338,25,M,S,31.5,0,1230,2,male,0,0
339,29,M,C,7.2292,0,1231,3,male,0,0
340,18,M,S,10.5,0,1232,2,male,0,0
341,32,M,S,7.5792,0,1233,3,male,0,0
342,29,M,S,69.55,9,1234,3,male,1,0
343,58,B,C,512.3292,1,1235,1,female,0,1
344,29,M,S,14.5,1,1236,3,male,1,0
345,16,M,S,7.65,0,1237,3,female,0,1
346,26,M,S,13.0,0,1238,2,male,0,0
347,38,M,C,7.2292,0,1239,3,female,0,1
348,24,M,S,13.5,0,1240,2,male,0,0
349,31,M,S,21.0,0,1241,2,female,0,1
350,45,D,C,63.3583,1,1242,1,female,0,1
351,25,M,S,10.5,0,1243,2,male,0,0
352,18,M,S,73.5,0,1244,2,male,0,0
353,49,M,S,65.0,2,1245,2,male,1,0
354,0,M,S,20.575,2,1246,3,female,1,1
355,50,E,S,26.0,0,1247,1,male,0,0
356,59,C,S,51.4792,0,1248,1,female,2,1
357,29,M,S,7.8792,0,1249,3,male,0,0
358,29,M,Q,7.75,0,1250,3,male,0,0
359,30,M,S,15.55,0,1251,3,female,1,1
360,14,M,S,69.55,2,1252,3,male,8,0
361,24,M,C,37.0042,1,1253,2,female,1,1
362,31,M,S,21.0,0,1254,2,female,0,1
363,27,M,S,8.6625,0,1255,3,male,0,0
364,25,E,C,55.4417,0,1256,1,female,1,1
365,29,M,S,69.55,9,1257,3,female,1,1
366,29,M,C,14.4583,0,1258,3,male,1,0
367,22,M,S,39.6875,0,1259,3,female,0,1
368,45,M,C,59.4,1,1260,1,female,0,1
369,29,M,C,13.8583,0,1261,2,male,0,0
370,21,M,S,11.5,0,1262,2,male,1,0
371,31,E,C,134.5,0,1263,1,female,0,1
372,49,B,S,0.0,0,1264,1,male,0,0
373,44,M,S,13.0,0,1265,2,male,0,0
374,54,A,S,81.8583,1,1266,1,female,1,1
375,45,M,C,262.375,0,1267,1,female,0,1
376,22,M,S,8.6625,0,1268,3,female,2,1
377,21,M,S,11.5,0,1269,2,male,0,0
378,55,C,S,50.0,0,1270,1,male,0,0
379,5,M,S,31.3875,2,1271,3,male,4,0
380,29,M,Q,7.75,0,1272,3,male,0,0
381,26,M,Q,7.8792,0,1273,3,male,0,0
382,29,M,S,14.5,0,1274,3,female,0,1
383,19,M,S,16.1,0,1275,3,female,1,1
384,29,M,S,12.875,0,1276,2,male,0,0
385,24,M,S,65.0,2,1277,2,female,1,1
386,24,M,S,7.775,0,1278,3,male,0,0
387,57,M,S,13.0,0,1279,2,male,0,0
388,21,M,Q,7.75,0,1280,3,male,0,0
389,6,M,S,21.075,1,1281,3,male,3,0
390,23,B,S,93.5,0,1282,1,male,0,0
391,51,D,S,39.4,1,1283,1,female,0,1
392,13,M,S,20.25,2,1284,3,male,0,0
393,47,M,S,10.5,0,1285,2,male,0,0
394,29,M,S,22.025,1,1286,3,male,3,0
395,18,C,S,60.0,0,1287,1,female,1,1
396,24,M,Q,7.25,0,1288,3,male,0,0
397,48,B,C,79.2,1,1289,1,female,1,1
398,22,M,S,7.775,0,1290,3,male,0,0
399,31,M,Q,7.7333,0,1291,3,male,0,0
400,30,C,S,164.8667,0,1292,1,female,0,1
401,38,M,S,21.0,0,1293,2,male,1,0
402,22,M,C,59.4,1,1294,1,female,0,1
403,17,M,S,47.1,0,1295,1,male,0,0
404,43,D,C,27.7208,0,1296,1,male,1,0
405,20,D,C,13.8625,0,1297,2,male,0,0
406,23,M,S,10.5,0,1298,2,male,1,0
407,50,C,C,211.5,1,1299,1,male,1,0
408,29,M,Q,7.7208,0,1300,3,female,0,1
409,3,M,S,13.775,1,1301,3,female,1,1
410,29,M,Q,7.75,0,1302,3,female,0,1
411,37,C,Q,90.0,0,1303,1,female,1,1
412,28,M,S,7.775,0,1304,3,female,0,1
413,29,M,S,8.05,0,1305,3,male,0,0
414,39,C,C,108.9,0,1306,1,female,0,1
415,38,M,S,7.25,0,1307,3,male,0,0
416,29,M,S,8.05,0,1308,3,male,0,0
417,29,M,C,22.3583,1,1309,3,male,1,0
