,Age,Cabin,Embarked,Fare,Fsize,PassengerId,Pclass,Sex,Died,Survived
117,29,M,S,21.0,2,118,2,male,Dead,0
118,24,B,C,247.5208,2,119,1,male,Dead,0
119,2,M,S,31.275,7,120,3,female,Dead,0
120,21,M,S,73.5,3,121,2,male,Dead,0
121,29,M,S,8.05,1,122,3,male,Dead,0
122,32,M,C,30.0708,2,123,2,male,Dead,0
123,32,E,S,13.0,1,124,2,female,Alive,1
124,54,D,S,77.2875,2,125,1,male,Dead,0
125,12,M,C,11.2417,2,126,3,male,Alive,1
126,29,M,Q,7.75,1,127,3,male,Dead,0
127,24,M,S,7.1417,1,128,3,male,Alive,1
128,29,F,C,22.3583,3,129,3,female,Alive,1
129,45,M,S,6.975,1,130,3,male,Dead,0
130,33,M,C,7.8958,1,131,3,male,Dead,0
131,20,M,S,7.05,1,132,3,male,Dead,0
132,47,M,S,14.5,2,133,3,female,Dead,0
133,29,M,S,26.0,2,134,2,female,Alive,1
134,25,M,S,13.0,1,135,2,male,Dead,0
135,23,M,C,15.0458,1,136,2,male,Dead,0
136,19,D,S,26.2833,3,137,1,female,Alive,1
137,37,C,S,53.1,2,138,1,male,Dead,0
138,16,M,S,9.2167,1,139,3,male,Dead,0
139,24,B,C,79.2,1,140,1,male,Dead,0
140,29,M,C,15.2458,3,141,3,female,Dead,0
141,22,M,S,7.75,1,142,3,female,Alive,1
142,24,M,S,15.85,2,143,3,female,Alive,1
143,19,M,Q,6.75,1,144,3,male,Dead,0
144,18,M,S,11.5,1,145,2,male,Dead,0
145,19,M,S,36.75,3,146,2,male,Dead,0
146,27,M,S,7.7958,1,147,3,male,Alive,1
147,9,M,S,34.375,5,148,3,female,Dead,0
148,36,F,S,26.0,3,149,2,male,Dead,0
149,42,M,S,13.0,1,150,2,male,Dead,0
150,51,M,S,12.525,1,151,2,male,Dead,0
151,22,C,S,66.6,2,152,1,female,Alive,1
152,55,M,S,8.05,1,153,3,male,Dead,0
153,40,M,S,14.5,3,154,3,male,Dead,0
154,29,M,S,7.3125,1,155,3,male,Dead,0
155,51,M,C,61.3792,2,156,1,male,Dead,0
156,16,M,Q,7.7333,1,157,3,female,Alive,1
157,30,M,S,8.05,1,158,3,male,Dead,0
158,29,M,S,8.6625,1,159,3,male,Dead,0
159,29,M,S,69.55,11,160,3,male,Dead,0
160,44,M,S,16.1,2,161,3,male,Dead,0
161,40,M,S,15.75,1,162,2,female,Alive,1
162,26,M,S,7.775,1,163,3,male,Dead,0
163,17,M,S,8.6625,1,164,3,male,Dead,0
164,1,M,S,39.6875,6,165,3,male,Dead,0
165,9,M,S,20.525,3,166,3,male,Alive,1
166,29,E,S,55.0,2,167,1,female,Alive,1
167,45,M,S,27.9,6,168,3,female,Dead,0
168,29,M,S,25.925,1,169,1,male,Dead,0
169,28,M,S,56.4958,1,170,3,male,Dead,0
170,61,B,S,33.5,1,171,1,male,Dead,0
171,4,M,Q,29.125,6,172,3,male,Dead,0
172,1,M,S,11.1333,3,173,3,female,Alive,1
173,21,M,S,7.925,1,174,3,male,Dead,0
174,56,A,C,30.6958,1,175,1,male,Dead,0
175,18,M,S,7.8542,3,176,3,male,Dead,0
176,29,M,S,25.4667,5,177,3,male,Dead,0
177,50,C,C,28.7125,1,178,1,female,Dead,0
178,30,M,S,13.0,1,179,2,male,Dead,0
179,36,M,S,0.0,1,180,3,male,Dead,0
180,29,M,S,69.55,11,181,3,female,Dead,0
181,29,M,C,15.05,1,182,2,male,Dead,0
182,9,M,S,31.3875,7,183,3,male,Dead,0
183,1,F,S,39.0,4,184,2,male,Alive,1
184,4,M,S,22.025,3,185,3,female,Alive,1
185,29,A,S,50.0,1,186,1,male,Dead,0
186,29,M,Q,15.5,2,187,3,female,Alive,1
187,45,M,S,26.55,1,188,1,male,Alive,1
188,40,M,Q,15.5,3,189,3,male,Dead,0
189,36,M,S,7.8958,1,190,3,male,Dead,0
190,32,M,S,13.0,1,191,2,female,Alive,1
191,19,M,S,13.0,1,192,2,male,Dead,0
192,19,M,S,7.8542,2,193,3,female,Alive,1
193,3,F,S,26.0,3,194,2,male,Alive,1
194,44,B,C,27.7208,1,195,1,female,Alive,1
195,58,B,C,146.5208,1,196,1,female,Alive,1
196,29,M,Q,7.75,1,197,3,male,Dead,0
197,42,M,S,8.4042,2,198,3,male,Dead,0
198,29,M,Q,7.75,1,199,3,female,Alive,1
199,24,M,S,13.0,1,200,2,female,Dead,0
200,28,M,S,9.5,1,201,3,male,Dead,0
201,29,M,S,69.55,11,202,3,male,Dead,0
202,34,M,S,6.4958,1,203,3,male,Dead,0
203,45,M,C,7.225,1,204,3,male,Dead,0
204,18,M,S,8.05,1,205,3,male,Alive,1
205,2,G,S,10.4625,2,206,3,female,Dead,0
206,32,M,S,15.85,2,207,3,male,Dead,0
207,26,M,C,18.7875,1,208,3,male,Alive,1
208,16,M,Q,7.75,1,209,3,female,Alive,1
209,40,A,C,31.0,1,210,1,male,Alive,1
210,24,M,S,7.05,1,211,3,male,Dead,0
211,35,M,S,21.0,1,212,2,female,Alive,1
212,22,M,S,7.25,1,213,3,male,Dead,0
213,30,M,S,13.0,1,214,2,male,Dead,0
214,29,M,Q,7.75,2,215,3,male,Dead,0
215,31,D,C,113.275,2,216,1,female,Alive,1
216,27,M,S,7.925,1,217,3,female,Alive,1
217,42,M,S,27.0,2,218,2,male,Dead,0
218,32,D,C,76.2917,1,219,1,female,Alive,1
219,30,M,S,10.5,1,220,2,male,Dead,0
220,16,M,S,8.05,1,221,3,male,Alive,1
221,27,M,S,13.0,1,222,2,male,Dead,0
222,51,M,S,8.05,1,223,3,male,Dead,0
223,29,M,S,7.8958,1,224,3,male,Dead,0
224,38,C,S,90.0,2,225,1,male,Alive,1
225,22,M,S,9.35,1,226,3,male,Dead,0
226,19,M,S,10.5,1,227,2,male,Alive,1
227,20,M,S,7.25,1,228,3,male,Dead,0
228,18,M,S,13.0,1,229,2,male,Dead,0
229,29,M,S,25.4667,5,230,3,female,Dead,0
230,35,C,S,83.475,2,231,1,female,Alive,1
231,29,M,S,7.775,1,232,3,male,Dead,0
232,59,M,S,13.5,1,233,2,male,Dead,0
233,5,M,S,31.3875,7,234,3,female,Alive,1
234,24,M,S,10.5,1,235,2,male,Dead,0
235,29,M,S,7.55,1,236,3,female,Dead,0
236,44,M,S,26.0,2,237,2,male,Dead,0
237,8,M,S,26.25,3,238,2,female,Alive,1
238,19,M,S,10.5,1,239,2,male,Dead,0
239,33,M,S,12.275,1,240,2,male,Dead,0
240,29,M,C,14.4542,2,241,3,female,Dead,0
241,29,M,Q,15.5,2,242,3,female,Alive,1
242,29,M,S,10.5,1,243,2,male,Dead,0
243,22,M,S,7.125,1,244,3,male,Dead,0
244,30,M,C,7.225,1,245,3,male,Dead,0
245,44,C,Q,90.0,3,246,1,male,Dead,0
246,25,M,S,7.775,1,247,3,female,Dead,0
247,24,M,S,14.5,3,248,2,female,Alive,1
248,37,D,S,52.5542,3,249,1,male,Alive,1
249,54,M,S,26.0,2,250,2,male,Dead,0
250,29,M,S,7.25,1,251,3,male,Dead,0
251,29,G,S,10.4625,3,252,3,female,Dead,0
252,62,C,S,26.55,1,253,1,male,Dead,0
253,30,M,S,16.1,2,254,3,male,Dead,0
254,41,M,S,20.2125,3,255,3,female,Dead,0
255,29,M,C,15.2458,3,256,3,female,Alive,1
256,29,M,C,79.2,1,257,1,female,Alive,1
257,30,B,S,86.5,1,258,1,female,Alive,1
258,35,M,C,512.3292,1,259,1,female,Alive,1
259,50,M,S,26.0,2,260,2,female,Alive,1
260,29,M,Q,7.75,1,261,3,male,Dead,0
261,3,M,S,31.3875,7,262,3,male,Alive,1
262,52,E,S,79.65,3,263,1,male,Dead,0
263,40,B,S,0.0,1,264,1,male,Dead,0
264,29,M,Q,7.75,1,265,3,female,Dead,0
265,36,M,S,10.5,1,266,2,male,Dead,0
266,16,M,S,39.6875,6,267,3,male,Dead,0
267,25,M,S,7.775,2,268,3,male,Alive,1
268,58,C,S,153.4625,2,269,1,female,Alive,1
269,35,C,S,135.6333,1,270,1,female,Alive,1
270,29,M,S,31.0,1,271,1,male,Dead,0
271,25,M,S,0.0,1,272,3,male,Alive,1
272,41,M,S,19.5,2,273,2,female,Alive,1
273,37,C,C,29.7,2,274,1,male,Dead,0
274,29,M,Q,7.75,1,275,3,female,Alive,1
275,63,D,S,77.9583,2,276,1,female,Alive,1
276,45,M,S,7.75,1,277,3,female,Dead,0
277,29,M,S,0.0,1,278,2,male,Dead,0
278,7,M,Q,29.125,6,279,3,male,Dead,0
279,35,M,S,20.25,3,280,3,female,Alive,1
280,65,M,Q,7.75,1,281,3,male,Dead,0
281,28,M,S,7.8542,1,282,3,male,Dead,0
282,16,M,S,9.5,1,283,3,male,Dead,0
283,19,M,S,8.05,1,284,3,male,Alive,1
284,29,A,S,26.0,1,285,1,male,Dead,0
285,33,M,C,8.6625,1,286,3,male,Dead,0
286,30,M,S,9.5,1,287,3,male,Alive,1
287,22,M,S,7.8958,1,288,3,male,Dead,0
288,42,M,S,13.0,1,289,2,male,Alive,1
289,22,M,Q,7.75,1,290,3,female,Alive,1
290,26,M,S,78.85,1,291,1,female,Alive,1
291,19,B,C,91.0792,2,292,1,female,Alive,1
292,36,D,C,12.875,1,293,2,male,Dead,0
293,24,M,S,8.85,1,294,3,female,Dead,0
294,24,M,S,7.8958,1,295,3,male,Dead,0
295,29,M,C,27.7208,1,296,1,male,Dead,0
296,23,M,C,7.2292,1,297,3,male,Dead,0
297,2,C,S,151.55,4,298,1,female,Dead,0
298,29,C,S,30.5,1,299,1,male,Alive,1
299,50,B,C,247.5208,2,300,1,female,Alive,1
300,29,M,Q,7.75,1,301,3,female,Alive,1
301,29,M,Q,23.25,3,302,3,male,Alive,1
302,19,M,S,0.0,1,303,3,male,Dead,0
303,29,E,Q,12.35,1,304,2,female,Alive,1
304,29,M,S,8.05,1,305,3,male,Dead,0
305,0,C,S,151.55,4,306,1,male,Alive,1
306,29,M,C,110.8833,1,307,1,female,Alive,1
307,17,C,C,108.9,2,308,1,female,Alive,1
308,30,M,C,24.0,2,309,2,male,Dead,0
309,30,E,C,56.9292,1,310,1,female,Alive,1
310,24,C,C,83.1583,1,311,1,female,Alive,1
311,18,B,C,262.375,5,312,1,female,Alive,1
312,26,M,S,26.0,3,313,2,female,Dead,0
313,28,M,S,7.8958,1,314,3,male,Dead,0
314,43,M,S,26.25,3,315,2,male,Dead,0
315,26,M,S,7.8542,1,316,3,female,Alive,1
316,24,M,S,26.0,2,317,2,female,Alive,1
317,54,M,S,14.0,1,318,2,male,Dead,0
318,31,C,S,164.8667,3,319,1,female,Alive,1
319,40,E,C,134.5,3,320,1,female,Alive,1
320,22,M,S,7.25,1,321,3,male,Dead,0
321,27,M,S,7.8958,1,322,3,male,Dead,0
322,30,M,Q,12.35,1,323,2,female,Alive,1
323,22,M,S,29.0,3,324,2,female,Alive,1
324,29,M,S,69.55,11,325,3,male,Dead,0
325,36,C,C,135.6333,1,326,1,female,Alive,1
326,61,M,S,6.2375,1,327,3,male,Dead,0
327,36,D,S,13.0,1,328,2,female,Alive,1
328,31,M,S,20.525,3,329,3,female,Alive,1
329,16,B,C,57.9792,2,330,1,female,Alive,1
330,29,M,Q,23.25,3,331,3,female,Alive,1
331,45,C,S,28.5,1,332,1,male,Dead,0
332,38,C,S,153.4625,2,333,1,male,Dead,0
333,16,M,S,18.0,3,334,3,male,Dead,0
334,29,M,S,133.65,2,335,1,female,Alive,1
335,29,M,S,7.8958,1,336,3,male,Dead,0
336,29,C,S,66.6,2,337,1,male,Dead,0
337,41,E,C,134.5,1,338,1,female,Alive,1
338,45,M,S,8.05,1,339,3,male,Alive,1
339,45,T,S,35.5,1,340,1,male,Dead,0
340,2,F,S,26.0,3,341,2,male,Alive,1
341,24,C,S,263.0,6,342,1,female,Alive,1
342,28,M,S,13.0,1,343,2,male,Dead,0
343,25,M,S,13.0,1,344,2,male,Dead,0
344,36,M,S,13.0,1,345,2,male,Dead,0
345,24,F,S,13.0,1,346,2,female,Alive,1
346,40,M,S,13.0,1,347,2,female,Alive,1
347,29,M,S,16.1,2,348,3,female,Alive,1
348,3,M,S,15.9,3,349,3,male,Alive,1
349,42,M,S,8.6625,1,350,3,male,Dead,0
350,23,M,S,9.225,1,351,3,male,Dead,0
351,29,C,S,35.0,1,352,1,male,Dead,0
352,15,M,C,7.2292,3,353,3,male,Dead,0
353,25,M,S,17.8,2,354,3,male,Dead,0
354,29,M,C,7.225,1,355,3,male,Dead,0
355,28,M,S,9.5,1,356,3,male,Dead,0
356,22,E,S,55.0,2,357,1,female,Alive,1
357,38,M,S,13.0,1,358,2,female,Dead,0
358,29,M,Q,7.8792,1,359,3,female,Alive,1
359,29,M,Q,7.8792,1,360,3,female,Alive,1
360,40,M,S,27.9,6,361,3,male,Dead,0
361,29,M,C,27.7208,2,362,2,male,Dead,0
362,45,M,C,14.4542,2,363,3,female,Dead,0
363,35,M,S,7.05,1,364,3,male,Dead,0
364,29,M,Q,15.5,2,365,3,male,Dead,0
365,30,M,S,7.25,1,366,3,male,Dead,0
366,60,D,C,75.25,2,367,1,female,Alive,1
367,29,M,C,7.2292,1,368,3,female,Alive,1
368,29,M,Q,7.75,1,369,3,female,Alive,1
369,24,B,C,69.3,1,370,1,female,Alive,1
370,25,E,C,55.4417,2,371,1,male,Alive,1
371,18,M,S,6.4958,2,372,3,male,Dead,0
372,19,M,S,8.05,1,373,3,male,Dead,0
373,22,M,C,135.6333,1,374,1,male,Dead,0
374,3,M,S,21.075,5,375,3,female,Dead,0
375,29,M,C,82.1708,2,376,1,female,Alive,1
376,22,M,S,7.25,1,377,3,female,Alive,1
377,27,C,C,211.5,3,378,1,male,Dead,0
378,20,M,C,4.0125,1,379,3,male,Dead,0
379,19,M,S,7.775,1,380,3,male,Dead,0
380,42,M,C,227.525,1,381,1,female,Alive,1
381,1,M,C,15.7417,3,382,3,female,Alive,1
382,32,M,S,7.925,1,383,3,male,Dead,0
383,35,M,S,52.0,2,384,1,female,Alive,1
384,29,M,S,7.8958,1,385,3,male,Dead,0
385,18,M,S,73.5,1,386,2,male,Dead,0
386,1,M,S,46.9,8,387,3,male,Dead,0
387,36,M,S,13.0,1,388,2,female,Alive,1
388,29,M,Q,7.7292,1,389,3,male,Dead,0
389,17,M,C,12.0,1,390,2,female,Alive,1
390,36,B,S,120.0,4,391,1,male,Alive,1
391,21,M,S,7.7958,1,392,3,male,Alive,1
392,28,M,S,7.925,3,393,3,male,Dead,0
393,23,D,C,113.275,2,394,1,female,Alive,1
394,24,G,S,16.7,3,395,3,female,Alive,1
395,22,M,S,7.7958,1,396,3,male,Dead,0
396,31,M,S,7.8542,1,397,3,female,Dead,0
397,46,M,S,26.0,1,398,2,male,Dead,0
398,23,M,S,10.5,1,399,2,male,Dead,0
399,28,M,S,12.65,1,400,2,female,Alive,1
400,39,M,S,7.925,1,401,3,male,Alive,1
401,26,M,S,8.05,1,402,3,male,Dead,0
402,21,M,S,9.825,2,403,3,female,Dead,0
403,28,M,S,15.85,2,404,3,male,Dead,0
404,20,M,S,8.6625,1,405,3,female,Dead,0
405,34,M,S,21.0,2,406,2,male,Dead,0
406,51,M,S,7.75,1,407,3,male,Dead,0
407,3,M,S,18.75,3,408,2,male,Alive,1
408,21,M,S,7.775,1,409,3,male,Dead,0
409,29,M,S,25.4667,5,410,3,female,Dead,0
410,29,M,S,7.8958,1,411,3,male,Dead,0
411,29,M,Q,6.8583,1,412,3,male,Dead,0
412,33,C,Q,90.0,2,413,1,female,Alive,1
413,29,M,S,0.0,1,414,2,male,Dead,0
414,44,M,S,7.925,1,415,3,male,Alive,1
415,29,M,S,8.05,1,416,3,female,Dead,0
416,34,M,S,32.5,3,417,2,female,Alive,1
417,18,M,S,13.0,3,418,2,female,Alive,1
418,30,M,S,13.0,1,419,2,male,Dead,0
419,10,M,S,24.15,3,420,3,female,Dead,0
420,29,M,C,7.8958,1,421,3,male,Dead,0
421,21,M,Q,7.7333,1,422,3,male,Dead,0
422,29,M,S,7.875,1,423,3,male,Dead,0
423,28,M,S,14.4,3,424,3,female,Dead,0
424,18,M,S,20.2125,3,425,3,male,Dead,0
425,29,M,S,7.25,1,426,3,male,Dead,0
426,28,M,S,26.0,2,427,2,female,Alive,1
427,19,M,S,26.0,1,428,2,female,Alive,1
428,29,M,Q,7.75,1,429,3,male,Dead,0
429,32,E,S,8.05,1,430,3,male,Alive,1
430,28,C,S,26.55,1,431,1,male,Alive,1
431,29,M,S,16.1,2,432,3,female,Alive,1
432,42,M,S,26.0,2,433,2,female,Alive,1
433,17,M,S,7.125,1,434,3,male,Dead,0
434,50,E,S,55.9,2,435,1,male,Dead,0
435,14,B,S,120.0,4,436,1,female,Alive,1
436,21,M,S,34.375,5,437,3,female,Dead,0
437,24,M,S,18.75,6,438,2,female,Alive,1
438,64,C,S,263.0,6,439,1,male,Dead,0
439,31,M,S,10.5,1,440,2,male,Dead,0
440,45,M,S,26.25,3,441,2,female,Alive,1
441,20,M,S,9.5,1,442,3,male,Dead,0
442,25,M,S,7.775,2,443,3,male,Dead,0
443,28,M,S,13.0,1,444,2,female,Alive,1
444,29,M,S,8.1125,1,445,3,male,Alive,1
445,4,A,S,81.8583,3,446,1,male,Alive,1
446,13,M,S,19.5,2,447,2,female,Alive,1
447,34,M,S,26.55,1,448,1,male,Alive,1
448,5,M,C,19.2583,4,449,3,female,Alive,1
449,52,C,S,30.5,1,450,1,male,Alive,1
450,36,M,S,27.75,4,451,2,male,Dead,0
451,29,M,S,19.9667,2,452,3,male,Dead,0
452,30,C,C,27.75,1,453,1,male,Dead,0
453,49,C,C,89.1042,2,454,1,male,Alive,1
454,29,M,S,8.05,1,455,3,male,Dead,0
455,29,M,C,7.8958,1,456,3,male,Alive,1
456,65,E,S,26.55,1,457,1,male,Dead,0
457,29,D,S,51.8625,2,458,1,female,Alive,1
458,50,M,S,10.5,1,459,2,female,Alive,1
459,29,M,Q,7.75,1,460,3,male,Dead,0
460,48,E,S,26.55,1,461,1,male,Alive,1
461,34,M,S,8.05,1,462,3,male,Dead,0
462,47,E,S,38.5,1,463,1,male,Dead,0
463,48,M,S,13.0,1,464,2,male,Dead,0
464,29,M,S,8.05,1,465,3,male,Dead,0
465,38,M,S,7.05,1,466,3,male,Dead,0
466,29,M,S,0.0,1,467,2,male,Dead,0
467,56,M,S,26.55,1,468,1,male,Dead,0
468,29,M,Q,7.725,1,469,3,male,Dead,0
469,0,M,C,19.2583,4,470,3,female,Alive,1
470,29,M,S,7.25,1,471,3,male,Dead,0
471,38,M,S,8.6625,1,472,3,male,Dead,0
472,33,M,S,27.75,4,473,2,female,Alive,1
473,23,D,C,13.7917,1,474,2,female,Alive,1
474,22,M,S,9.8375,1,475,3,female,Dead,0
475,29,A,S,52.0,1,476,1,male,Dead,0
476,34,M,S,21.0,2,477,2,male,Dead,0
477,29,M,S,7.0458,2,478,3,male,Dead,0
478,22,M,S,7.5208,1,479,3,male,Dead,0
479,2,M,S,12.2875,2,480,3,female,Alive,1
480,9,M,S,46.9,8,481,3,male,Dead,0
481,29,M,S,0.0,1,482,2,male,Dead,0
482,50,M,S,8.05,1,483,3,male,Dead,0
483,63,M,S,9.5875,1,484,3,female,Alive,1
484,25,B,C,91.0792,2,485,1,male,Alive,1
485,29,M,S,25.4667,5,486,3,female,Dead,0
486,35,C,S,90.0,2,487,1,female,Alive,1
487,58,B,C,29.7,1,488,1,male,Dead,0
488,30,M,S,8.05,1,489,3,male,Dead,0
489,9,M,S,15.9,3,490,3,male,Alive,1
490,29,M,S,19.9667,2,491,3,male,Dead,0
491,21,M,S,7.25,1,492,3,male,Dead,0
492,55,C,S,30.5,1,493,1,male,Dead,0
493,71,M,C,49.5042,1,494,1,male,Dead,0
494,21,M,S,8.05,1,495,3,male,Dead,0
495,29,M,C,14.4583,1,496,3,male,Dead,0
496,54,D,C,78.2667,2,497,1,female,Alive,1
497,29,M,S,15.1,1,498,3,male,Dead,0
498,25,C,S,151.55,4,499,1,female,Dead,0
499,24,M,S,7.7958,1,500,3,male,Dead,0
500,17,M,S,8.6625,1,501,3,male,Dead,0
501,21,M,Q,7.75,1,502,3,female,Dead,0
502,29,M,Q,7.6292,1,503,3,female,Dead,0
503,37,M,S,9.5875,1,504,3,female,Dead,0
504,16,B,S,86.5,1,505,1,female,Alive,1
505,18,C,C,108.9,2,506,1,male,Dead,0
506,33,M,S,26.0,3,507,2,female,Alive,1
507,29,M,S,26.55,1,508,1,male,Alive,1
508,28,M,S,22.525,1,509,3,male,Dead,0
509,26,M,S,56.4958,1,510,3,male,Alive,1
510,29,M,Q,7.75,1,511,3,male,Alive,1
511,29,M,S,8.05,1,512,3,male,Dead,0
512,36,E,S,26.2875,1,513,1,male,Alive,1
513,54,M,C,59.4,2,514,1,female,Alive,1
514,24,M,S,7.4958,1,515,3,male,Dead,0
515,47,D,S,34.0208,1,516,1,male,Dead,0
516,34,F,S,10.5,1,517,2,female,Alive,1
517,29,M,Q,24.15,1,518,3,male,Dead,0
518,36,M,S,26.0,2,519,2,female,Alive,1
519,32,M,S,7.8958,1,520,3,male,Dead,0
520,30,B,S,93.5,1,521,1,female,Alive,1
521,22,M,S,7.8958,1,522,3,male,Dead,0
522,29,M,C,7.225,1,523,3,male,Dead,0
523,44,B,C,57.9792,2,524,1,female,Alive,1
524,29,M,C,7.2292,1,525,3,male,Dead,0
525,40,M,Q,7.75,1,526,3,male,Dead,0
