,Age,Cabin,Embarked,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Survived
184,4,M,S,22.025,2,185,3,female,0,1
185,29,A,S,50.0,0,186,1,male,0,0
186,29,M,Q,15.5,0,187,3,female,1,1
187,45,M,S,26.55,0,188,1,male,0,1
188,40,M,Q,15.5,1,189,3,male,1,0
189,36,M,S,7.8958,0,190,3,male,0,0
190,32,M,S,13.0,0,191,2,female,0,1
191,19,M,S,13.0,0,192,2,male,0,0
192,19,M,S,7.8542,0,193,3,female,1,1
193,3,F,S,26.0,1,194,2,male,1,1
194,44,B,C,27.7208,0,195,1,female,0,1
195,58,B,C,146.5208,0,196,1,female,0,1
196,29,M,Q,7.75,0,197,3,male,0,0
197,42,M,S,8.4042,1,198,3,male,0,0
198,29,M,Q,7.75,0,199,3,female,0,1
199,24,M,S,13.0,0,200,2,female,0,0
200,28,M,S,9.5,0,201,3,male,0,0
201,29,M,S,69.55,2,202,3,male,8,0
202,34,M,S,6.4958,0,203,3,male,0,0
203,45,M,C,7.225,0,204,3,male,0,0
204,18,M,S,8.05,0,205,3,male,0,1
205,2,G,S,10.4625,1,206,3,female,0,0
206,32,M,S,15.85,0,207,3,male,1,0
207,26,M,C,18.7875,0,208,3,male,0,1
208,16,M,Q,7.75,0,209,3,female,0,1
209,40,A,C,31.0,0,210,1,male,0,1
210,24,M,S,7.05,0,211,3,male,0,0
211,35,M,S,21.0,0,212,2,female,0,1
212,22,M,S,7.25,0,213,3,male,0,0
213,30,M,S,13.0,0,214,2,male,0,0
214,29,M,Q,7.75,0,215,3,male,1,0
215,31,D,C,113.275,0,216,1,female,1,1
216,27,M,S,7.925,0,217,3,female,0,1
217,42,M,S,27.0,0,218,2,male,1,0
218,32,D,C,76.2917,0,219,1,female,0,1
219,30,M,S,10.5,0,220,2,male,0,0
220,16,M,S,8.05,0,221,3,male,0,1
221,27,M,S,13.0,0,222,2,male,0,0
222,51,M,S,8.05,0,223,3,male,0,0
223,29,M,S,7.8958,0,224,3,male,0,0
224,38,C,S,90.0,0,225,1,male,1,1
225,22,M,S,9.35,0,226,3,male,0,0
226,19,M,S,10.5,0,227,2,male,0,1
227,20,M,S,7.25,0,228,3,male,0,0
228,18,M,S,13.0,0,229,2,male,0,0
229,29,M,S,25.4667,1,230,3,female,3,0
230,35,C,S,83.475,0,231,1,female,1,1
231,29,M,S,7.775,0,232,3,male,0,0
232,59,M,S,13.5,0,233,2,male,0,0
233,5,M,S,31.3875,2,234,3,female,4,1
234,24,M,S,10.5,0,235,2,male,0,0
235,29,M,S,7.55,0,236,3,female,0,0
236,44,M,S,26.0,0,237,2,male,1,0
237,8,M,S,26.25,2,238,2,female,0,1
238,19,M,S,10.5,0,239,2,male,0,0
239,33,M,S,12.275,0,240,2,male,0,0
240,29,M,C,14.4542,0,241,3,female,1,0
241,29,M,Q,15.5,0,242,3,female,1,1
242,29,M,S,10.5,0,243,2,male,0,0
243,22,M,S,7.125,0,244,3,male,0,0
244,30,M,C,7.225,0,245,3,male,0,0
245,44,C,Q,90.0,0,246,1,male,2,0
246,25,M,S,7.775,0,247,3,female,0,0
247,24,M,S,14.5,2,248,2,female,0,1
248,37,D,S,52.5542,1,249,1,male,1,1
249,54,M,S,26.0,0,250,2,male,1,0
250,29,M,S,7.25,0,251,3,male,0,0
251,29,G,S,10.4625,1,252,3,female,1,0
252,62,C,S,26.55,0,253,1,male,0,0
253,30,M,S,16.1,0,254,3,male,1,0
254,41,M,S,20.2125,2,255,3,female,0,0
255,29,M,C,15.2458,2,256,3,female,0,1
256,29,M,C,79.2,0,257,1,female,0,1
257,30,B,S,86.5,0,258,1,female,0,1
258,35,M,C,512.3292,0,259,1,female,0,1
259,50,M,S,26.0,1,260,2,female,0,1
260,29,M,Q,7.75,0,261,3,male,0,0
261,3,M,S,31.3875,2,262,3,male,4,1
262,52,E,S,79.65,1,263,1,male,1,0
263,40,B,S,0.0,0,264,1,male,0,0
264,29,M,Q,7.75,0,265,3,female,0,0
265,36,M,S,10.5,0,266,2,male,0,0
266,16,M,S,39.6875,1,267,3,male,4,0
267,25,M,S,7.775,0,268,3,male,1,1
268,58,C,S,153.4625,1,269,1,female,0,1
269,35,C,S,135.6333,0,270,1,female,0,1
270,29,M,S,31.0,0,271,1,male,0,0
271,25,M,S,0.0,0,272,3,male,0,1
272,41,M,S,19.5,1,273,2,female,0,1
273,37,C,C,29.7,1,274,1,male,0,0
274,29,M,Q,7.75,0,275,3,female,0,1
275,63,D,S,77.9583,0,276,1,female,1,1
276,45,M,S,7.75,0,277,3,female,0,0
277,29,M,S,0.0,0,278,2,male,0,0
278,7,M,Q,29.125,1,279,3,male,4,0
279,35,M,S,20.25,1,280,3,female,1,1
280,65,M,Q,7.75,0,281,3,male,0,0
281,28,M,S,7.8542,0,282,3,male,0,0
282,16,M,S,9.5,0,283,3,male,0,0
283,19,M,S,8.05,0,284,3,male,0,1
284,29,A,S,26.0,0,285,1,male,0,0
285,33,M,C,8.6625,0,286,3,male,0,0
286,30,M,S,9.5,0,287,3,male,0,1
287,22,M,S,7.8958,0,288,3,male,0,0
288,42,M,S,13.0,0,289,2,male,0,1
289,22,M,Q,7.75,0,290,3,female,0,1
290,26,M,S,78.85,0,291,1,female,0,1
291,19,B,C,91.0792,0,292,1,female,1,1
292,36,D,C,12.875,0,293,2,male,0,0
293,24,M,S,8.85,0,294,3,female,0,0
294,24,M,S,7.8958,0,295,3,male,0,0
295,29,M,C,27.7208,0,296,1,male,0,0
296,23,M,C,7.2292,0,297,3,male,0,0
297,2,C,S,151.55,2,298,1,female,1,0
298,29,C,S,30.5,0,299,1,male,0,1
299,50,B,C,247.5208,1,300,1,female,0,1
300,29,M,Q,7.75,0,301,3,female,0,1
301,29,M,Q,23.25,0,302,3,male,2,1
302,19,M,S,0.0,0,303,3,male,0,0
303,29,E,Q,12.35,0,304,2,female,0,1
304,29,M,S,8.05,0,305,3,male,0,0
305,0,C,S,151.55,2,306,1,male,1,1
306,29,M,C,110.8833,0,307,1,female,0,1
307,17,C,C,108.9,0,308,1,female,1,1
308,30,M,C,24.0,0,309,2,male,1,0
309,30,E,C,56.9292,0,310,1,female,0,1
310,24,C,C,83.1583,0,311,1,female,0,1
311,18,B,C,262.375,2,312,1,female,2,1
312,26,M,S,26.0,1,313,2,female,1,0
313,28,M,S,7.8958,0,314,3,male,0,0
314,43,M,S,26.25,1,315,2,male,1,0
315,26,M,S,7.8542,0,316,3,female,0,1
316,24,M,S,26.0,0,317,2,female,1,1
317,54,M,S,14.0,0,318,2,male,0,0
318,31,C,S,164.8667,2,319,1,female,0,1
319,40,E,C,134.5,1,320,1,female,1,1
320,22,M,S,7.25,0,321,3,male,0,0
321,27,M,S,7.8958,0,322,3,male,0,0
322,30,M,Q,12.35,0,323,2,female,0,1
323,22,M,S,29.0,1,324,2,female,1,1
324,29,M,S,69.55,2,325,3,male,8,0
325,36,C,C,135.6333,0,326,1,female,0,1
326,61,M,S,6.2375,0,327,3,male,0,0
327,36,D,S,13.0,0,328,2,female,0,1
328,31,M,S,20.525,1,329,3,female,1,1
329,16,B,C,57.9792,1,330,1,female,0,1
330,29,M,Q,23.25,0,331,3,female,2,1
331,45,C,S,28.5,0,332,1,male,0,0
332,38,C,S,153.4625,1,333,1,male,0,0
333,16,M,S,18.0,0,334,3,male,2,0
334,29,M,S,133.65,0,335,1,female,1,1
335,29,M,S,7.8958,0,336,3,male,0,0
336,29,C,S,66.6,0,337,1,male,1,0
337,41,E,C,134.5,0,338,1,female,0,1
338,45,M,S,8.05,0,339,3,male,0,1
339,45,T,S,35.5,0,340,1,male,0,0
340,2,F,S,26.0,1,341,2,male,1,1
341,24,C,S,263.0,2,342,1,female,3,1
342,28,M,S,13.0,0,343,2,male,0,0
343,25,M,S,13.0,0,344,2,male,0,0
344,36,M,S,13.0,0,345,2,male,0,0
345,24,F,S,13.0,0,346,2,female,0,1
346,40,M,S,13.0,0,347,2,female,0,1
347,29,M,S,16.1,0,348,3,female,1,1
348,3,M,S,15.9,1,349,3,male,1,1
349,42,M,S,8.6625,0,350,3,male,0,0
350,23,M,S,9.225,0,351,3,male,0,0
351,29,C,S,35.0,0,352,1,male,0,0
352,15,M,C,7.2292,1,353,3,male,1,0
353,25,M,S,17.8,0,354,3,male,1,0
354,29,M,C,7.225,0,355,3,male,0,0
355,28,M,S,9.5,0,356,3,male,0,0
356,22,E,S,55.0,1,357,1,female,0,1
357,38,M,S,13.0,0,358,2,female,0,0
358,29,M,Q,7.8792,0,359,3,female,0,1
359,29,M,Q,7.8792,0,360,3,female,0,1
360,40,M,S,27.9,4,361,3,male,1,0
361,29,M,C,27.7208,0,362,2,male,1,0
362,45,M,C,14.4542,1,363,3,female,0,0
363,35,M,S,7.05,0,364,3,male,0,0
364,29,M,Q,15.5,0,365,3,male,1,0
365,30,M,S,7.25,0,366,3,male,0,0
366,60,D,C,75.25,0,367,1,female,1,1
367,29,M,C,7.2292,0,368,3,female,0,1
368,29,M,Q,7.75,0,369,3,female,0,1
369,24,B,C,69.3,0,370,1,female,0,1
370,25,E,C,55.4417,0,371,1,male,1,1
371,18,M,S,6.4958,0,372,3,male,1,0
372,19,M,S,8.05,0,373,3,male,0,0
373,22,M,C,135.6333,0,374,1,male,0,0
374,3,M,S,21.075,1,375,3,female,3,0
375,29,M,C,82.1708,0,376,1,female,1,1
376,22,M,S,7.25,0,377,3,female,0,1
377,27,C,C,211.5,2,378,1,male,0,0
378,20,M,C,4.0125,0,379,3,male,0,0
379,19,M,S,7.775,0,380,3,male,0,0
380,42,M,C,227.525,0,381,1,female,0,1
381,1,M,C,15.7417,2,382,3,female,0,1
382,32,M,S,7.925,0,383,3,male,0,0
383,35,M,S,52.0,0,384,1,female,1,1
384,29,M,S,7.8958,0,385,3,male,0,0
385,18,M,S,73.5,0,386,2,male,0,0
386,1,M,S,46.9,2,387,3,male,5,0
387,36,M,S,13.0,0,388,2,female,0,1
388,29,M,Q,7.7292,0,389,3,male,0,0
389,17,M,C,12.0,0,390,2,female,0,1
390,36,B,S,120.0,2,391,1,male,1,1
391,21,M,S,7.7958,0,392,3,male,0,1
392,28,M,S,7.925,0,393,3,male,2,0
393,23,D,C,113.275,0,394,1,female,1,1
394,24,G,S,16.7,2,395,3,female,0,1
395,22,M,S,7.7958,0,396,3,male,0,0
396,31,M,S,7.8542,0,397,3,female,0,0
397,46,M,S,26.0,0,398,2,male,0,0
398,23,M,S,10.5,0,399,2,male,0,0
399,28,M,S,12.65,0,400,2,female,0,1
400,39,M,S,7.925,0,401,3,male,0,1
401,26,M,S,8.05,0,402,3,male,0,0
402,21,M,S,9.825,0,403,3,female,1,0
403,28,M,S,15.85,0,404,3,male,1,0
404,20,M,S,8.6625,0,405,3,female,0,0
405,34,M,S,21.0,0,406,2,male,1,0
406,51,M,S,7.75,0,407,3,male,0,0
407,3,M,S,18.75,1,408,2,male,1,1
408,21,M,S,7.775,0,409,3,male,0,0
409,29,M,S,25.4667,1,410,3,female,3,0
410,29,M,S,7.8958,0,411,3,male,0,0
411,29,M,Q,6.8583,0,412,3,male,0,0
412,33,C,Q,90.0,0,413,1,female,1,1
413,29,M,S,0.0,0,414,2,male,0,0
414,44,M,S,7.925,0,415,3,male,0,1
415,29,M,S,8.05,0,416,3,female,0,0
416,34,M,S,32.5,1,417,2,female,1,1
417,18,M,S,13.0,2,418,2,female,0,1
418,30,M,S,13.0,0,419,2,male,0,0
419,10,M,S,24.15,2,420,3,female,0,0
420,29,M,C,7.8958,0,421,3,male,0,0
421,21,M,Q,7.7333,0,422,3,male,0,0
422,29,M,S,7.875,0,423,3,male,0,0
423,28,M,S,14.4,1,424,3,female,1,0
424,18,M,S,20.2125,1,425,3,male,1,0
425,29,M,S,7.25,0,426,3,male,0,0
426,28,M,S,26.0,0,427,2,female,1,1
427,19,M,S,26.0,0,428,2,female,0,1
428,29,M,Q,7.75,0,429,3,male,0,0
429,32,E,S,8.05,0,430,3,male,0,1
430,28,C,S,26.55,0,431,1,male,0,1
431,29,M,S,16.1,0,432,3,female,1,1
432,42,M,S,26.0,0,433,2,female,1,1
433,17,M,S,7.125,0,434,3,male,0,0
434,50,E,S,55.9,0,435,1,male,1,0
435,14,B,S,120.0,2,436,1,female,1,1
436,21,M,S,34.375,2,437,3,female,2,0
437,24,M,S,18.75,3,438,2,female,2,1
438,64,C,S,263.0,4,439,1,male,1,0
439,31,M,S,10.5,0,440,2,male,0,0
440,45,M,S,26.25,1,441,2,female,1,1
441,20,M,S,9.5,0,442,3,male,0,0
442,25,M,S,7.775,0,443,3,male,1,0
443,28,M,S,13.0,0,444,2,female,0,1
444,29,M,S,8.1125,0,445,3,male,0,1
445,4,A,S,81.8583,2,446,1,male,0,1
446,13,M,S,19.5,1,447,2,female,0,1
447,34,M,S,26.55,0,448,1,male,0,1
448,5,M,C,19.2583,1,449,3,female,2,1
449,52,C,S,30.5,0,450,1,male,0,1
450,36,M,S,27.75,2,451,2,male,1,0
451,29,M,S,19.9667,0,452,3,male,1,0
452,30,C,C,27.75,0,453,1,male,0,0
453,49,C,C,89.1042,0,454,1,male,1,1
454,29,M,S,8.05,0,455,3,male,0,0
455,29,M,C,7.8958,0,456,3,male,0,1
456,65,E,S,26.55,0,457,1,male,0,0
457,29,D,S,51.8625,0,458,1,female,1,1
458,50,M,S,10.5,0,459,2,female,0,1
459,29,M,Q,7.75,0,460,3,male,0,0
460,48,E,S,26.55,0,461,1,male,0,1
461,34,M,S,8.05,0,462,3,male,0,0
462,47,E,S,38.5,0,463,1,male,0,0
463,48,M,S,13.0,0,464,2,male,0,0
464,29,M,S,8.05,0,465,3,male,0,0
465,38,M,S,7.05,0,466,3,male,0,0
466,29,M,S,0.0,0,467,2,male,0,0
467,56,M,S,26.55,0,468,1,male,0,0
468,29,M,Q,7.725,0,469,3,male,0,0
469,0,M,C,19.2583,1,470,3,female,2,1
470,29,M,S,7.25,0,471,3,male,0,0
471,38,M,S,8.6625,0,472,3,male,0,0
472,33,M,S,27.75,2,473,2,female,1,1
473,23,D,C,13.7917,0,474,2,female,0,1
474,22,M,S,9.8375,0,475,3,female,0,0
475,29,A,S,52.0,0,476,1,male,0,0
476,34,M,S,21.0,0,477,2,male,1,0
477,29,M,S,7.0458,0,478,3,male,1,0
478,22,M,S,7.5208,0,479,3,male,0,0
479,2,M,S,12.2875,1,480,3,female,0,1
480,9,M,S,46.9,2,481,3,male,5,0
481,29,M,S,0.0,0,482,2,male,0,0
482,50,M,S,8.05,0,483,3,male,0,0
483,63,M,S,9.5875,0,484,3,female,0,1
484,25,B,C,91.0792,0,485,1,male,1,1
485,29,M,S,25.4667,1,486,3,female,3,0
486,35,C,S,90.0,0,487,1,female,1,1
487,58,B,C,29.7,0,488,1,male,0,0
488,30,M,S,8.05,0,489,3,male,0,0
489,9,M,S,15.9,1,490,3,male,1,1
490,29,M,S,19.9667,0,491,3,male,1,0
491,21,M,S,7.25,0,492,3,male,0,0
492,55,C,S,30.5,0,493,1,male,0,0
493,71,M,C,49.5042,0,494,1,male,0,0
494,21,M,S,8.05,0,495,3,male,0,0
495,29,M,C,14.4583,0,496,3,male,0,0
496,54,D,C,78.2667,0,497,1,female,1,1
497,29,M,S,15.1,0,498,3,male,0,0
498,25,C,S,151.55,2,499,1,female,1,0
499,24,M,S,7.7958,0,500,3,male,0,0
500,17,M,S,8.6625,0,501,3,male,0,0
501,21,M,Q,7.75,0,502,3,female,0,0
502,29,M,Q,7.6292,0,503,3,female,0,0
503,37,M,S,9.5875,0,504,3,female,0,0
504,16,B,S,86.5,0,505,1,female,0,1
505,18,C,C,108.9,0,506,1,male,1,0
506,33,M,S,26.0,2,507,2,female,0,1
507,29,M,S,26.55,0,508,1,male,0,1
508,28,M,S,22.525,0,509,3,male,0,0
509,26,M,S,56.4958,0,510,3,male,0,1
510,29,M,Q,7.75,0,511,3,male,0,1
511,29,M,S,8.05,0,512,3,male,0,0
512,36,E,S,26.2875,0,513,1,male,0,1
513,54,M,C,59.4,0,514,1,female,1,1
514,24,M,S,7.4958,0,515,3,male,0,0
515,47,D,S,34.0208,0,516,1,male,0,0
516,34,F,S,10.5,0,517,2,female,0,1
517,29,M,Q,24.15,0,518,3,male,0,0
518,36,M,S,26.0,0,519,2,female,1,1
519,32,M,S,7.8958,0,520,3,male,0,0
520,30,B,S,93.5,0,521,1,female,0,1
521,22,M,S,7.8958,0,522,3,male,0,0
522,29,M,C,7.225,0,523,3,male,0,0
523,44,B,C,57.9792,1,524,1,female,0,1
524,29,M,C,7.2292,0,525,3,male,0,0
525,40,M,Q,7.75,0,526,3,male,0,0
526,50,M,S,10.5,0,527,2,female,0,1
527,29,C,S,221.7792,0,528,1,male,0,0
528,39,M,S,7.925,0,529,3,male,0,0
529,23,M,S,11.5,1,530,2,male,2,0
530,2,M,S,26.0,1,531,2,female,1,1
531,29,M,C,7.2292,0,532,3,male,0,0
532,17,M,C,7.2292,1,533,3,male,1,0
533,29,M,C,22.3583,2,534,3,female,0,1
534,30,M,S,8.6625,0,535,3,female,0,0
535,7,M,S,26.25,2,536,2,female,0,1
536,45,B,S,26.55,0,537,1,male,0,0
537,30,M,C,106.425,0,538,1,female,0,1
538,29,M,S,14.5,0,539,3,male,0,0
539,22,B,C,49.5,2,540,1,female,0,1
540,36,B,S,71.0,2,541,1,female,0,1
541,9,M,S,31.275,2,542,3,female,4,0
542,11,M,S,31.275,2,543,3,female,4,0
543,32,M,S,26.0,0,544,2,male,1,1
544,50,C,C,106.425,0,545,1,male,1,0
545,64,M,S,26.0,0,546,1,male,0,0
546,19,M,S,26.0,0,547,2,female,1,1
547,29,M,C,13.8625,0,548,2,male,0,1
548,33,M,S,20.525,1,549,3,male,1,0
549,8,M,S,36.75,1,550,2,male,1,1
550,17,C,C,110.8833,2,551,1,male,0,1
551,27,M,S,26.0,0,552,2,male,0,0
552,29,M,Q,7.8292,0,553,3,male,0,0
553,22,M,C,7.225,0,554,3,male,0,1
554,22,M,S,7.775,0,555,3,female,0,1
555,62,M,S,26.55,0,556,1,male,0,0
556,48,A,C,39.6,0,557,1,female,1,1
557,29,M,C,227.525,0,558,1,male,0,0
558,39,E,S,79.65,1,559,1,female,1,1
559,36,M,S,17.4,0,560,3,female,1,1
560,29,M,Q,7.75,0,561,3,male,0,0
561,40,M,S,7.8958,0,562,3,male,0,0
562,28,M,S,13.5,0,563,2,male,0,0
563,29,M,S,8.05,0,564,3,male,0,0
564,29,M,S,8.05,0,565,3,female,0,0
565,24,M,S,24.15,0,566,3,male,2,0
566,19,M,S,7.8958,0,567,3,male,0,0
567,29,M,S,21.075,4,568,3,female,0,0
568,29,M,C,7.2292,0,569,3,male,0,0
